,Quarter,Region,State,Purpose,Trips
308,2015-12-24,125059,691001,14460155.8896999,246906.085
309,2015-12-25,90265,691001,18156181.8176998,388611.7236
310,2015-12-26,116682,618083,8379431.97000001,119530.3302
311,2015-12-28,143312,691001,14728213.0084,105305.8373
312,2015-12-29,FS000289,691001,11537520.6480999,151282.2217
313,2015-12-30,205058,691001,13826468.7399,410354.9966
314,2016-01-04,115302,691001,3784815.44630005,19098.8648000001
315,2016-01-05,183158,691001,7355589.6158,92308.3302
316,2016-01-06,FS000364,691001,5962180.81879998,83370.3352
317,2016-01-07,218997,691001,6922202.76660001,61628.8658
318,2016-01-08,FS000715,691001,14115461.712,112965.0215
319,2016-01-09,99572,390001,6043482.18999999,61845.8354
320,2016-01-11,FS001408,691001,7035616.89380001,55140.2893
321,2016-01-12,169640,691001,7540696.62550005,105261.8319
322,2016-01-13,63481,691001,9914517.72829989,122283.001
323,2016-01-14,194901,691001,11734683.2753,86097.6252
324,2016-01-15,210441,691001,9136701.97730002,132909.3099
325,2016-01-18,138127,691001,11695287.1044,115890.9514
326,2016-01-19,143459,691001,10598189.2047,135252.0868
327,2016-01-20,117122,691001,11931445.1179999,108682.5409
328,2016-01-21,89764,691001,10220415.3565,77439.533
329,2016-01-22,218010,691001,11205778.9106,124495.0953
330,2016-01-23,232474,691001,7313889.79599999,109372.3995
331,2016-01-25,203986,691007,8991188.79459999,74992.3038
332,2016-01-26,228705,691001,15217934.9083999,358375.554
333,2016-01-27,98179,691001,12603250.7269,195895.4861
334,2016-01-28,171384,691001,12763136.5362,166546.206
335,2016-01-29,FI571429,703008,20911175.59,887732.276400001
336,2016-01-30,179281,106002,7171210.98999999,42749.5140000001
337,2016-02-01,123321,691001,4377365.8457,-68632.6859
338,2016-02-02,50900,691001,10902611.8648,86795.46
339,2016-02-03,116040,691001,10337356.6652001,198304.0798
340,2016-02-04,175573,691001,9695853.14439997,59314.2678
341,2016-02-05,72438,691001,5694486.01110001,23813.1283
342,2016-02-06,206321,519390,85281.6,747
343,2016-02-08,232627,520066,-7290,-9
344,2016-02-09,129101,691001,627461.745299999,4391.0932
345,2016-02-10,126810,691001,2593975.1025,54242.0611
346,2016-02-11,123291,691001,11671117.1676,142540.5318
347,2016-02-12,30902,691001,9768117.84130004,98829.4728
348,2016-02-13,190385,613033,7424821.55000003,57234.4752
349,2016-02-15,123291,691001,7637111.05360001,80048.8212
350,2016-02-16,116033,691001,6162825.7912,53455.1209
351,2016-02-17,108526,691001,8776618.53310004,68380.8619
352,2016-02-18,104399,691001,16152690.8991999,166337.6406
353,2016-02-19,124014,691001,16263235.2168,359062.8231
354,2016-02-20,115319,115016,10149671.67,78915.4934
355,2016-02-23,2862,691001,13063837.8429997,171087.4218
356,2016-02-24,199968,691001,13148891.7434,221470.6204
357,2016-02-25,195038,691001,14873319.5581,132011.7692
358,2016-02-26,194918,691001,13354987.9027999,116432.3693
359,2016-02-27,175375,119459,14333278.61,77386.0849000002
360,2016-02-28,117313,619295,801802.78,10026
361,2016-02-29,160913,691001,22276841.9328,402230.5068
362,2016-03-01,216498,691001,11597387.412,202531.4407
363,2016-03-02,50917,691001,7981231.4276,73176.4211000001
364,2016-03-03,157616,691001,12102035.9179,112885.0723
365,2016-03-04,144319,691001,14319475.8572,180994.5135
366,2016-03-05,183318,111079,15471404.78,149597.1088
367,2016-03-07,145804,691001,10034178.5059,92015.6759
368,2016-03-08,190187,691001,9141917.16990003,76794.1203
369,2016-03-09,123321,691001,10069555.5557,95023.5282
370,2016-03-10,108502,691001,9624651.76950007,166219.1542
371,2016-03-11,212124,691001,8043266.91620006,65116.4863
372,2016-03-12,90586,503215,4722756.26000007,42125.5296000001
373,2016-03-14,153700,691001,13598582.3441999,287112.6658
374,2016-03-15,155353,691001,11213376.3142999,130456.1169
375,2016-03-16,197896,691001,7434750.84719999,61954.8269
376,2016-03-17,219468,691001,12610332.4156,177894.7923
377,2016-03-18,4477,691001,15567993.0122999,118966.7532
378,2016-03-19,209094,691001,6686908.47590003,98022.515
379,2016-03-20,197124,691001,11747.6661,119.8152
