"Cg","Datetime","Customer","Sku","Channel","qty","Amt"
"010012","2020-07-03","619433","027018","200","12","681.31"
"010012","2020-07-09","115016","027018","200","240","13344"
"010012","2020-07-09","612030","027018","200","5","317.76"
"010012","2020-07-09","619433","027018","200","12","652.79"
"010012","2020-07-10","615093","027018","200","24","1334.4"
"010012","2020-07-10","619433","027018","200","24","1291.58"
"010012","2020-07-13","619433","027018","200","12","645.53"
"010012","2020-07-14","619433","027018","200","2","160.28"
"010012","2020-07-17","202160","027018","200","12","667.2"
"010012","2020-07-17","602505","027018","200","2","111.2"
"010012","2020-07-21","115016","027018","200","72","4003.2"
"010012","2020-07-22","603165","027018","200","48","2398.56"
"010012","2020-07-23","202177","027018","200","9","500.4"
"010012","2020-07-27","619433","027018","200","2","161.68"
"010012","2020-07-29","612030","027018","200","12","762.62"
"010012","2020-07-29","618074","027018","200","4","222.4"
"010012","2020-07-30","202178","027018","200","8","444.8"
"010012","2020-07-30","612030","027018","200","1","71.5"
"010012","2020-07-31","202161","027018","200","17","945.2"
"010012","2020-07-31","603165","027018","200","24","1199.28"
"010012","2020-08-03","612030","027018","200","13","808.3100000000001"
"010012","2020-08-03","619433","027018","200","1","67.21"
"010012","2020-08-04","115016","027018","200","456","25353.6"
"010012","2020-08-04","602505","027018","200","4","222.4"
"010012","2020-08-05","612030","027018","200","12","807.48"
"010012","2020-08-05","619433","027018","200","2","124.59"
"010012","2020-08-06","612030","027018","200","12","610.1"
"010012","2020-08-07","602264","027018","200","3","166.8"
"010012","2020-08-08","619433","027018","200","13","647.8100000000001"
"010012","2020-08-09","619433","027018","200","1","63.78"
"010012","2020-08-10","612030","027018","200","1","67.29"
"010012","2020-08-10","619433","027018","200","3","181.44"
"010012","2020-08-11","619433","027018","200","13","654.04"
"010012","2020-08-13","612030","027018","200","1","63.93"
"010012","2020-08-17","619433","027018","200","1","68.22"
"010012","2020-08-18","619433","027018","200","1","67.29"
"010012","2020-08-22","619433","027018","200","12","681.58"
"010012","2020-08-24","115016","027018","200","168","9340.8"
"010012","2020-08-26","619433","027018","200","1","75.7"
"010012","2020-08-28","603165","027018","200","48","2398.56"
"010012","2020-08-28","612030","027018","200","6","437.38"
"010012","2020-09-02","619433","027018","200","2","122.43"
"010012","2020-09-04","619433","027018","200","1","68.22"
"010012","2020-09-05","619433","027018","200","1","68.23"
