,"Quarter","Region","State","Trips","Purpose"
1267,"2019-03-20","150075","691001","17688","879591.2381999999"
1268,"2019-03-21","122126","119442","16026","1155643.16"
1269,"2019-03-22","276881","691001","22664","1238690.1340000005"
1270,"2019-03-23","027001","612030","15637","938515.3500000006"
1271,"2019-03-25","122164","691001","32168","1702348.6655000001"
1272,"2019-03-26","101916","691001","35148","1919772.139699999"
1273,"2019-03-27","153762","691001","45237","2276635.0903000003"
1274,"2019-03-28","122133","691001","38946","2105217.677600002"
1275,"2019-03-29","027001","691001","38922","1888690.6391999987"
1276,"2019-03-30","042295","115030","42529","2105822.2699999977"
1277,"2019-03-31","110642","103131","38660","1893017.680000001"
1278,"2019-04-01","042295","691001","32089","1821330.9079000007"
1279,"2019-04-02","111397","691001","14694","798257.8102999998"
1280,"2019-04-03","122133","691001","29843","2020815.2370999993"
1281,"2019-04-04","013622","612030","13878","923793.6799999997"
1282,"2019-04-05","151386","691001","23370","1480451.2394999983"
1283,"2019-04-06","075590","861135","21474","1612352.8099999991"
1284,"2019-04-08","111397","691001","22327","1170175.2682"
1285,"2019-04-09","077921","691001","20321","1406427.7024"
1286,"2019-04-10","101916","691001","19643","1170247.5284999986"
1287,"2019-04-11","004460","691001","24619","1338338.0522000003"
1288,"2019-04-12","167851","612030","2419","183061.21"
1289,"2019-04-17","110642","691001","25186","1290857.2074999977"
1290,"2019-04-18","204839","691001","49178","2892484.739400013"
1291,"2019-04-19","013622","691007","14346","769888.0400000006"
1292,"2019-04-20","086510","612030","10326","639419.4600000003"
1293,"2019-04-22","077945","691001","14847","797932.5672999999"
1294,"2019-04-23","018535","123048","23102","1258361.6100000003"
1295,"2019-04-24","077945","691001","30788","1581028.7163000016"
1296,"2019-04-25","204839","691001","38779","1997445.5537000012"
1297,"2019-04-26","150075","691001","22446","1141568.790400001"
1298,"2019-04-27","026998","612030","20219","994927.0500000003"
1299,"2019-04-29","150112","619433","10107","469716.3900000001"
1300,"2019-04-30","153762","691001","17390","1032942.5112999998"
1301,"2019-05-02","122133","691001","10286","645317.4649000001"
1302,"2019-05-03","150075","691001","12763","782855.3438999994"
1303,"2019-05-04","018535","202174","10495","523496.78999999934"
1304,"2019-05-07","122645","613074","7177","428476.3199999999"
1305,"2019-05-08","194390","612030","11316","656743.7799999997"
1306,"2019-05-09","122140","691001","9372","613914.6909999998"
1307,"2019-05-10","224004","691001","19723","1223446.0385000003"
1308,"2019-05-11","101916","619433","9673","685812.3499999996"
1309,"2019-05-13","259167","691001","13173","755975.5565999999"
1310,"2019-05-14","221911","691001","11216","560501.7314000003"
1311,"2019-05-15","011734","691001","14809","629405.8734"
1312,"2019-05-16","122065","691001","72136","3452911.102400001"
1313,"2019-05-17","018511","691001","16792","1208826.201"
1314,"2019-05-20","013622","612030","12990","732073.0900000017"
1315,"2019-05-21","153779","691001","15247","831485.4141000004"
1316,"2019-05-22","077945","691001","8151","443240.6458999995"
1317,"2019-05-23","204839","691001","11100","733422.1833999999"
1318,"2019-05-24","122065","691001","16531","1104374.9135000003"
1319,"2019-05-25","167929","612030","14816","932531.6899999995"
1320,"2019-05-27","204822","691001","23099","1179489.4018"
1321,"2019-05-28","004477","691001","15923","823385.5863"
1322,"2019-05-29","111410","691001","18420","1068649.021"
1323,"2019-05-30","259181","691001","14367","851383.1652000009"
1324,"2019-05-31","139957","103081","12646","711658.36"
1325,"2019-06-01","153786","619433","34114","1993939.4300000018"
1326,"2019-06-03","167899","619433","23673","1271774.4300000013"
1327,"2019-06-04","153762","691007","13781","690333.6299999998"
1328,"2019-06-05","101916","619433","11641","629702.0899999996"
1329,"2019-06-06","013622","612030","31767","1771080.6900000002"
